Sitios,Distancia,THC,Redox,Mud_perc,Phi_mean,Ba,Sr,Cu,Pb,Ni
A1,0.1,232,80,11.91,3.22,1967,587,97,65,14
A2,0.1,443,189,10.95,3.3,1997,509,8,43,10
A3,0.25,56,153,8.3,3.05,3143,302,5,23,10
A4,0.33,32,150,3.48,2.96,3096,179,4,28,5
B1,0.45,57,168,6.2,3.1,4913,208,4,29,8
B2,1,38,126,5.86,3.22,2773,160,3,13,9
B3,1,19,198,4.67,2.98,2099,107,3,15,3
B4,1,25,203,4.86,3.01,2967,142,4,25,7
C1,1.1,18,119,3.73,3.07,1822,93,4,24,6
C2,1.3,13,143,3.22,3,1114,86,4,12,7
C3,1.4,9,-25,4.78,2.96,898,75,2,6,5
C4,2.2,13,174,4.02,3.05,1395,92,4,15,4
D1,2.6,11,142,3.65,2.95,1381,91,3,15,8
D2,2.7,8,202,4.62,3.03,1427,92,3,12,7
D3,2.8,17,224,4.56,3,1755,97,3,18,5
D4,3,14,130,4.86,3.07,2411,114,3,15,8
E1,3.7,8,120,6.12,3,403,54,2,10,4
E2,4.1,10,145,7.52,3.1,597,60,2,11,6
E3,4.1,13,178,4.3,2.94,2385,117,3,14,7
E4,5.9,13,132,4.85,3.05,747,66,2,9,6
G1,6.1,12,110,0.64,2.89,415,51,3,12,54
G2,7.7,9,179,3.16,2.83,436,62,3,12,5
G3,8,11,170,4.28,2.94,557,62,2,10,8
G4,8,8,143,2.93,2.92,329,64,2,10,7
